Date,Price,AveragePrice
2015-06-21,1.8747999999999998,2.09
2015-06-28,1.8840000000000001,2.02
2015-07-05,1.8947999999999998,2.04
2015-07-12,1.898,2.01
2015-07-19,1.9055999999999997,2.08
2015-07-26,1.9128,2.01
2015-08-02,1.9292000000000002,2.0
2015-08-09,1.932,1.88
2015-08-16,1.9391999999999998,2.0
2015-08-23,1.9436000000000002,1.87
2015-08-30,1.9472,1.88
2015-09-06,1.9499999999999997,1.86
2015-09-13,1.9551999999999998,1.99
2015-09-20,1.9572,1.98
2015-09-27,1.9591999999999998,1.98
2015-10-04,1.9679999999999997,1.98
2015-10-11,1.9656,1.9
2015-10-18,1.9684,1.97
2015-10-25,1.9604,1.83
2015-11-01,1.9564000000000001,1.88
2015-11-08,1.9567999999999999,1.88
2015-11-15,1.9551999999999998,1.89
2015-11-22,1.9568,1.94
2015-11-29,1.9572,1.94
2015-12-06,1.9495999999999998,1.84
2015-12-13,1.94,1.85
2015-12-20,1.9347999999999999,1.89
2015-12-27,1.9264,1.83
2016-01-03,1.916,1.75
2016-01-10,1.9060000000000001,1.83
2016-01-17,1.8923999999999999,1.67
2016-01-24,1.8856,1.83
2016-01-31,1.8820000000000001,1.79
2016-02-07,1.8744,1.81
2016-02-14,1.8719999999999999,1.81
2016-02-21,1.8684,1.79
2016-02-28,1.8656,1.79
2016-03-06,1.8628,1.92
2016-03-13,1.8551999999999997,1.79
2016-03-20,1.8463999999999998,1.76
2016-03-27,1.8332000000000002,1.65
2016-04-03,1.8195999999999999,1.56
2016-04-10,1.8056,1.62
2016-04-17,1.8052000000000001,1.82
2016-04-24,1.8007999999999997,1.77
2016-05-01,1.7968000000000002,1.78
2016-05-08,1.7944,1.83
2016-05-15,1.7804000000000002,1.59
2016-05-22,1.7648,1.55
2016-05-29,1.7508000000000001,1.49
2016-06-05,1.7356,1.47
2016-06-12,1.7172,1.43
2016-06-19,1.7020000000000002,1.45
2016-06-26,1.6932000000000003,1.53
2016-07-03,1.6772,1.43
2016-07-10,1.6736000000000002,1.58
2016-07-17,1.6632,1.57
2016-07-24,1.6484,1.42
2016-07-31,1.6332000000000002,1.43
2016-08-07,1.6276,1.67
2016-08-14,1.6248000000000002,1.72
2016-08-21,1.62,1.67
2016-08-28,1.6096000000000001,1.66
2016-09-04,1.6072,1.73
2016-09-11,1.604,1.68
2016-09-18,1.6056,1.69
2016-09-25,1.6104000000000003,1.68
2016-10-02,1.6147999999999998,1.73
2016-10-09,1.6119999999999999,1.75
2016-10-16,1.6112,1.75
2016-10-23,1.6144,1.86
2016-10-30,1.6196000000000002,1.96
2016-11-06,1.6332,1.93
2016-11-13,1.6512,2.0
2016-11-20,1.6688,1.93
2016-11-27,1.6887999999999999,1.97
2016-12-04,1.7104,1.97
2016-12-11,1.7284,1.9
2016-12-18,1.7416,1.86
2016-12-25,1.7616,1.93
2017-01-01,1.7731999999999999,1.87
2017-01-08,1.7879999999999998,1.94
2017-01-15,1.8048,1.84
2017-01-22,1.8204,1.82
2017-01-29,1.828,1.86
2017-02-05,1.8279999999999998,1.72
2017-02-12,1.8324,1.78
2017-02-19,1.8328,1.67
2017-02-26,1.832,1.71
2017-03-05,1.8384,1.84
2017-03-12,1.8495999999999997,1.97
2017-03-19,1.8572,1.87
2017-03-26,1.8688,2.02
2017-04-02,1.8732,1.86
2017-04-09,1.88,1.92
2017-04-16,1.8796000000000002,1.85
2017-04-23,1.8780000000000001,1.92
2017-04-30,1.8703999999999998,1.74
2017-05-07,1.8619999999999999,1.79
2017-05-14,1.8476,1.57
2017-05-21,1.8424,1.84
2017-05-28,1.8384,1.87
2017-06-04,1.8276,1.63
2017-06-11,1.8348,2.04
2017-06-18,1.8388,2.03
2017-06-25,1.8492000000000002,2.13
2017-07-02,1.8528,2.03
2017-07-09,1.8592,2.0
2017-07-16,1.8612,1.87
2017-07-23,1.8436,1.42
2017-07-30,1.8416,1.67
2017-08-06,1.8496000000000001,1.98
2017-08-13,1.8588,1.9
2017-08-20,1.8647999999999998,1.86
2017-08-27,1.8676,1.91
2017-09-03,1.8688,2.0
2017-09-10,1.8651999999999997,1.78
2017-09-17,1.8464,1.55
2017-09-24,1.8288,1.42
2017-10-01,1.8156,1.59
2017-10-08,1.7975999999999999,1.4
2017-10-15,1.7795999999999998,1.47
2017-10-22,1.7696,1.49
2017-10-29,1.7532000000000003,1.38
2017-11-05,1.7504000000000002,1.5
2017-11-12,1.7451999999999999,1.71
2017-11-19,1.7404,1.75
2017-11-26,1.7379999999999998,1.57
2017-12-03,1.714,1.44
2017-12-10,1.6907999999999999,1.45
2017-12-17,1.6628,1.43
2017-12-24,1.6448000000000003,1.58
2017-12-31,1.6232,1.46
2018-01-07,1.61,1.54
2018-01-14,1.612,1.47
2018-01-21,1.6068,1.54
2018-01-28,1.5804,1.32
2018-02-04,1.5652,1.52
2018-02-11,1.5479999999999998,1.43
2018-02-18,1.5288,1.43
2018-02-25,1.5112,1.56
2018-03-04,1.4992,1.48
2018-03-11,1.5044,1.68
2018-03-18,1.514,1.66
2018-03-25,1.5188,1.71
